PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,label
36043521,CDK4/6 inhibitor resistance mechanisms and treatment strategies (Review),"Huang J, Zheng L, Sun Z, Li J.",Int J Mol Med. 2022 Oct;50(4):128. doi: 10.3892/ijmm.2022.5184. Epub 2022 Aug 31.,Huang J,Int J Mol Med,2022,31/8/2022,PMC9448295,,10.3892/ijmm.2022.5184,CDK
35552450,Systemic Therapies Following Progression on First-line CDK4/6-inhibitor Treatment: Analysis of Real-world Data,"Martin JM, Handorf EA, Montero AJ, Goldstein LJ.",Oncologist. 2022 Jun 8;27(6):441-446. doi: 10.1093/oncolo/oyac075.,Martin JM,Oncologist,2022,13/5/2022,PMC9177121,,10.1093/oncolo/oyac075,CDK
35982377,Overexpressed Cyclin D1 and CDK4 proteins are responsible for the resistance to CDK4/6 inhibitor in breast cancer that can be reversed by PI3K/mTOR inhibitors,"Cai Z, Wang J, Li Y, Shi Q, Jin L, Li S, Zhu M, Wang Q, Wong LL, Yang W, Lai H, Gong C, Yao Y, Liu Y, Zhang J, Yao H, Liu Q.",Sci China Life Sci. 2023 Jan;66(1):94-109. doi: 10.1007/s11427-021-2140-8. Epub 2022 Aug 11.,Cai Z,Sci China Life Sci,2023,18/8/2022,,,10.1007/s11427-021-2140-8,CDK
36530984,CDK4/6 inhibitor resistance: A bibliometric analysis,"Pang J, Li H, Sheng Y.",Front Oncol. 2022 Dec 1;12:917707. doi: 10.3389/fonc.2022.917707. eCollection 2022.,Pang J,Front Oncol,2022,19/12/2022,PMC9752919,,10.3389/fonc.2022.917707,CDK
36346366,Combination Therapies with CDK4/6 Inhibitors to Treat KRAS-Mutant Pancreatic Cancer,"Goodwin CM, Waters AM, Klomp JE, Javaid S, Bryant KL, Stalnecker CA, Drizyte-Miller K, Papke B, Yang R, Amparo AM, Ozkan-Dagliyan I, Baldelli E, Calvert V, Pierobon M, Sorrentino JA, Beelen AP, Bublitz N, Lüthen M, Wood KC, Petricoin EF, Sers C, McRee AJ, Cox AD, Der CJ.",Cancer Res. 2023 Jan 4;83(1):141-157. doi: 10.1158/0008-5472.CAN-22-0391.,Goodwin CM,Cancer Res,2023,8/11/2022,PMC9812941,NIHMS1849841,10.1158/0008-5472.CAN-22-0391,CDK
36176758,Liquid biopsies to predict CDK4/6 inhibitor efficacy and resistance in breast cancer,"Main SC, Cescon DW, Bratman SV.",Cancer Drug Resist. 2022 Jun 22;5(3):727-748. doi: 10.20517/cdr.2022.37. eCollection 2022.,Main SC,Cancer Drug Resist,2022,30/9/2022,PMC9511796,,10.20517/cdr.2022.37,CDK
37035239,"CDK4/6 inhibitor resistance in estrogen receptor positive breast cancer, a 2023 perspective","Zhou FH, Downton T, Freelander A, Hurwitz J, Caldon CE, Lim E.",Front Cell Dev Biol. 2023 Mar 22;11:1148792. doi: 10.3389/fcell.2023.1148792. eCollection 2023.,Zhou FH,Front Cell Dev Biol,2023,10/4/2023,PMC10073728,,10.3389/fcell.2023.1148792,CDK
35792620,CDK4/6 Inhibition Enhances Oncolytic Virus Efficacy by Potentiating Tumor-Selective Cell Killing and T-cell Activation in Refractory Glioblastoma,"Xiao J, Liang J, Fan J, Hou P, Li X, Zhang H, Li K, Bu L, Li P, He M, Zhong Y, Guo L, Jia P, Xiao Q, Wu J, Peng H, Li C, Xing F, Guo D.",Cancer Res. 2022 Sep 16;82(18):3359-3374. doi: 10.1158/0008-5472.CAN-21-3656.,Xiao J,Cancer Res,2022,6/7/2022,,,10.1158/0008-5472.CAN-21-3656,CDK
36070391,The spindle assembly checkpoint is a therapeutic vulnerability of CDK4/6 inhibitor-resistant ER(+) breast cancer with mitotic aberrations,"Soria-Bretones I, Thu KL, Silvester J, Cruickshank J, El Ghamrasni S, Ba-Alawi W, Fletcher GC, Kiarash R, Elliott MJ, Chalmers JJ, Elia AC, Cheng A, Rose AAN, Bray MR, Haibe-Kains B, Mak TW, Cescon DW.",Sci Adv. 2022 Sep 9;8(36):eabq4293. doi: 10.1126/sciadv.abq4293. Epub 2022 Sep 7.,Soria-Bretones I,Sci Adv,2022,7/9/2022,PMC9451148,,10.1126/sciadv.abq4293,CDK
36071033,High p16 expression and heterozygous RB1 loss are biomarkers for CDK4/6 inhibitor resistance in ER(+) breast cancer,"Palafox M, Monserrat L, Bellet M, Villacampa G, Gonzalez-Perez A, Oliveira M, Brasó-Maristany F, Ibrahimi N, Kannan S, Mina L, Herrera-Abreu MT, Òdena A, Sánchez-Guixé M, Capelán M, Azaro A, Bruna A, Rodríguez O, Guzmán M, Grueso J, Viaplana C, Hernández J, Su F, Lin K, Clarke RB, Caldas C, Arribas J, Michiels S, García-Sanz A, Turner NC, Prat A, Nuciforo P, Dienstmann R, Verma CS, Lopez-Bigas N, Scaltriti M, Arnedos M, Saura C, Serra V.",Nat Commun. 2022 Sep 7;13(1):5258. doi: 10.1038/s41467-022-32828-6.,Palafox M,Nat Commun,2022,7/9/2022,PMC9452562,,10.1038/s41467-022-32828-6,CDK
35913398,Targeting RAS Mutant Colorectal Cancer with Dual Inhibition of MEK and CDK4/6,"Sorokin AV, Kanikarla Marie P, Bitner L, Syed M, Woods M, Manyam G, Kwong LN, Johnson B, Morris VK, Jones P, Menter DG, Lee MS, Kopetz S.",Cancer Res. 2022 Sep 16;82(18):3335-3344. doi: 10.1158/0008-5472.CAN-22-0198.,Sorokin AV,Cancer Res,2022,1/8/2022,PMC9478530,,10.1158/0008-5472.CAN-22-0198,CDK
36185294,Rationale for combination of paclitaxel and CDK4/6 inhibitor in ovarian cancer therapy - non-mitotic mechanisms of paclitaxel,"Smith ER, Huang M, Schlumbrecht MP, George SHL, Xu XX.",Front Oncol. 2022 Sep 15;12:907520. doi: 10.3389/fonc.2022.907520. eCollection 2022.,Smith ER,Front Oncol,2022,3/10/2022,PMC9520484,,10.3389/fonc.2022.907520,CDK
36074908,Breast cancer: an up-to-date review and future perspectives,"Hong R, Xu B.",Cancer Commun (Lond). 2022 Oct;42(10):913-936. doi: 10.1002/cac2.12358. Epub 2022 Sep 8.,Hong R,Cancer Commun (Lond),2022,8/9/2022,PMC9558690,,10.1002/cac2.12358,CDK
36042494,S6K1 amplification confers innate resistance to CDK4/6 inhibitors through activating c-Myc pathway in patients with estrogen receptor-positive breast cancer,"Mo H, Liu X, Xue Y, Chen H, Guo S, Li Z, Wang S, Li C, Han J, Fu M, Song Y, Li D, Ma F.",Mol Cancer. 2022 Aug 30;21(1):171. doi: 10.1186/s12943-022-01642-5.,Mo H,Mol Cancer,2022,30/8/2022,PMC9426012,,10.1186/s12943-022-01642-5,CDK
35730565,Blocking cell cycle progression through CDK4/6 protects against chronic kidney disease,"Osaki Y, Manolopoulou M, Ivanova AV, Vartanian N, Mignemi MP, Kern J, Chen J, Yang H, Fogo AB, Zhang M, Robinson-Cohen C, Gewin LS.",JCI Insight. 2022 Jun 22;7(12):e158754. doi: 10.1172/jci.insight.158754.,Osaki Y,JCI Insight,2022,22/6/2022,PMC9309053,,10.1172/jci.insight.158754,CDK
